phone,email,call_attempt,lead_score
7942659364,vijay8988@outlook.com,5,28
8276524129,priya6303@gmail.com,5,90
9958797373,deepak2029@gmail.com,1,67
9657870135,rohit3307@yahoo.com,2,49
6874868308,arjun8403@outlook.com,3,25
7969838160,kiran822@yahoo.com,3,8
9398324307,test@,2,0
7827415406,hello@domain,2,80
7016533294,rahul2665@gmail.com,1,88
541446757945,arjun9886@gmail.com,0,58
6734207012,rohit5623@outlook.com,3,89
8529456262,rahul2454@gmail.com,5,51
6141397210,sneha446@outlook.com,5,98
98A76B321C,anita6021@yahoo.com,2,49
7234080951,anita8222@gmail.com,0,58
8362032445,kiran8132@outlook.com,4,80
6732867999,anita6877@outlook.com,4,58
9805895557,meera7182@outlook.com,3,12
96209503,sneha4211@gmail.com,3,35
691633944338,anita1360@outlook.com,2,0
7827415406,hello@domain,0,4
8938195835,vijay1903@gmail.com,0,35
7383483644,arjun4797@protonmail.com,2,20
7893891318,rahul5538@gmail.com,0,68
7296622593,hello@domain,4,25
9493019083,anita3711@gmail.com,4,12
6631277312,meera5592@outlook.com,1,36
7563776244,sneha444@protonmail.com,2,47
6164461255,meera542@yahoo.com,1,4
7319623087,anita5373@outlook.com,1,81
8487018811,meera623@gmail.com,2,83
99999,rohit3887@yahoo.com,3,74
9898321624,rohit5272@gmail.com,2,9
6261205095,priya940@gmail.com,0,17
50852144,sneha388@gmail.com,2,38
9423229988,meera5250@protonmail.com,0,43
6467684911,sneha6516@yahoo.com,2,19
7319028780,meera1169@protonmail.com,2,22
9811079789,rahul9386@gmail.com,5,80
9611917787,kiran8002@outlook.com,4,71
9846244768,rahul6516@protonmail.com,5,34
7707590844,meera5966@outlook.com,1,23
9020358510,arjun6733@gmail.com,4,77
8136381073,vijay2040@gmail.com,5,53
7379680452,arjun2753@yahoo.com,4,85
9858773648,anita6312@yahoo.com,0,49
384818723010,kiran1883@protonmail.com,0,9
6588175693,anita9152@protonmail.com,0,1
8741911194,priya2111@outlook.com,0,54
9073690944,meera9241@outlook.com,3,35
8760745047,meera8950@outlook.com,2,26
7624998487,arjun6946@yahoo.com,0,95
98A76B321C,rahul3209@yahoo.com,0,85
9080932873,rahul5462@yahoo.com,5,73
98A76B321C,priya7571@protonmail.com,0,32
7319028780,meera1169@protonmail.com,1,30
8734555602,rohit776@yahoo.com,2,1
9388502336,rohit6837@protonmail.com,0,56
6559962390,abc@abc,2,11
116664391991,priya4931@yahoo.com,4,44
99999,priya3832@yahoo.com,3,27
9330567343,sneha2162@gmail.com,1,13
7363954293,meera5187@outlook.com,5,77
99999,sneha1730@gmail.com,0,15
98A76B321C,priya1988@gmail.com,0,24
6864914999,vijay5718@outlook.com,2,87
294524451643,sneha1089@protonmail.com,4,5
9592942238,sneha8109@yahoo.com,0,14
6818437972,priya9108@yahoo.com,3,32
578769845618,vijay9408@protonmail.com,0,85
7054858225,anita9107@outlook.com,0,61
8840017199,sneha3875@yahoo.com,4,77
9493019083,anita3711@gmail.com,2,16
8166891857,rohit3257@outlook.com,3,41
9643150753,vijay6511@protonmail.com,1,46
99999,arjun3680@protonmail.com,3,59
8777251778,vijay4206@gmail.com,3,24
7286322825,arjun2237@protonmail.com,3,65
6998292520,rahul2402@protonmail.com,1,42
6042928667,priya6721@outlook.com,1,55
8878556296,deepak8739@protonmail.com,5,80
9295824020,abc@abc,3,23
99999,kiran4552@gmail.com,5,92
7682409139,deepak2072@yahoo.com,3,56
6575615158,deepak2175@protonmail.com,5,44
7044131363,arjun7205@outlook.com,4,5
12941230,arjun1660@yahoo.com,1,78
626265615515,deepak8174@gmail.com,2,56
7458873607,meera6512@protonmail.com,0,54
8533903724,meera7970@gmail.com,0,51
8515133107,arjun3299@outlook.com,5,49
8850578929,meera9271@outlook.com,2,77
991448163537,priya3468@outlook.com,1,0
9852345729,deepak5946@protonmail.com,4,24
1234567890,rahul4781@yahoo.com,2,98
7675503411,vijay4376@outlook.com,3,69
6877950810,meera9987@protonmail.com,1,90
98A76B321C,vijay2@yahoo.com,1,0
8319867536,deepak9824@gmail.com,2,46
6686086882,rohit2274@yahoo.com,3,16
8758230007,sneha1502@yahoo.com,4,97
99999,kiran8237@yahoo.com,1,100
8161828718,vijay7409@gmail.com,2,16
78803088,deepak2743@outlook.com,0,67
691633944338,anita1360@outlook.com,3,41
6087033241,kiran451@gmail.com,4,28
8795359285,anita5119@outlook.com,5,7
8671249135,kiran6171@outlook.com,5,7
9987002131,rahul2634@yahoo.com,1,66
9678065304,arjun281@protonmail.com,3,10
1234567890,priya1812@yahoo.com,3,44
7932214069,vijay3658@yahoo.com,5,18
79747294,priya505@outlook.com,2,67
6626915292,arjun7773@protonmail.com,0,21
6465993427,sneha3442@protonmail.com,1,96
9818246098,deepak504@protonmail.com,4,95
6081945791,meera2900@protonmail.com,0,77
7325790573,deepak8518@protonmail.com,5,13
8941382809,deepak9020@yahoo.com,4,43
6459624131,kiran4040@yahoo.com,1,97
28333121,deepak9062@gmail.com,1,48
7052488436,hello@domain,2,56
99999,sneha5228@protonmail.com,4,35
6486710229,meera1060@outlook.com,5,64
884260575615,meera804@outlook.com,2,21
6922138866,arjun6832@gmail.com,0,11
7959321602,meera8176@protonmail.com,4,82
6963741454,usergmail.com,3,55
8538535603,sneha9332@protonmail.com,3,93
6476924037,arjun5336@yahoo.com,0,23
6493602444,anita6274@gmail.com,0,52
6386072378,rahul8175@gmail.com,2,52
9506557071,@gmail.com,2,83
52048091,deepak6347@yahoo.com,4,84
08447983,anita1749@yahoo.com,5,2
8016852438,abc@abc,0,70
9500823500,@gmail.com,1,66
33436071,meera5475@yahoo.com,3,29
8593763126,rahul7066@gmail.com,5,86
9625305004,kiran4989@yahoo.com,4,76
061976984729,kiran7434@yahoo.com,1,80
9299897524,rahul4672@yahoo.com,4,23
1234567890,anita2055@yahoo.com,1,62
9422469541,rahul5684@protonmail.com,1,24
9417040902,abc@abc,5,32
164872521423,arjun6928@yahoo.com,4,87
9071481871,sneha4353@gmail.com,2,95
7246200157,deepak4525@gmail.com,1,57
7725046322,meera1077@gmail.com,4,56
7853608479,meera1475@yahoo.com,5,96
6574559559,anita1350@gmail.com,0,53
7484668187,anita870@yahoo.com,3,82
6685077025,rohit1587@outlook.com,0,83
7550952056,rohit7957@outlook.com,3,45
9506167707,kiran6455@yahoo.com,1,75
6140888598,anita6426@gmail.com,3,15
9287781247,priya4050@protonmail.com,5,63
7766109410,kiran6649@protonmail.com,2,75
9257425363,arjun6619@protonmail.com,2,51
9031397470,vijay382@yahoo.com,5,59
8093574435,deepak4815@protonmail.com,4,66
6268017334,arjun9248@yahoo.com,2,11
8421480836,rohit2629@gmail.com,0,52
6931309373,anita4258@yahoo.com,4,11
6913091740,deepak1431@outlook.com,1,35
7323198408,anita1862@gmail.com,2,56
9409270042,meera4375@protonmail.com,0,17
98A76B321C,sneha2836@protonmail.com,5,15
8226293341,meera9837@gmail.com,5,89
7157126611,kiran536@yahoo.com,2,91
78803088,deepak2743@outlook.com,4,70
8389980305,priya4708@outlook.com,5,95
98A76B321C,sneha1466@protonmail.com,2,74
8029634058,priya2787@gmail.com,2,0
98A76B321C,priya1887@gmail.com,2,54
7550952056,rohit7957@outlook.com,3,5
7507412780,usergmail.com,3,64
6344402706,vijay1084@outlook.com,1,43
9734312713,arjun2423@yahoo.com,4,51
6307603054,vijay9085@outlook.com,1,72
6064297855,anita2417@gmail.com,2,53
8852297577,rahul774@outlook.com,4,13
8447221548,usergmail.com,1,15
7825724970,deepak2225@gmail.com,4,92
386829919547,rohit1084@protonmail.com,3,62
46462648,anita2705@gmail.com,5,7
6921912829,arjun3421@outlook.com,4,76
7795925517,kiran6460@yahoo.com,0,37
630196757937,rohit177@outlook.com,0,100
6642231197,rahul2194@protonmail.com,0,52
99999,kiran807@yahoo.com,4,42
8374584872,hello@domain,3,43
99999,kiran807@yahoo.com,0,70
9447935686,arjun5849@protonmail.com,2,16
6027815705,vijay8709@outlook.com,1,85
9365232314,priya4160@gmail.com,4,32
98A76B321C,sneha628@gmail.com,4,75
6305053807,anita6765@yahoo.com,5,3
6428732059,priya3853@protonmail.com,2,28
98A76B321C,meera3724@outlook.com,0,43
6446768708,meera417@outlook.com,2,58
6058395247,rahul1420@outlook.com,2,69
6151710411,vijay9991@outlook.com,1,38
6311853224,anita5515@protonmail.com,1,49
98A76B321C,deepak876@yahoo.com,0,70
9075212982,anita8122@protonmail.com,2,48
6963741454,usergmail.com,4,24
99999,rohit2885@gmail.com,4,56
9511140950,deepak3367@gmail.com,4,55
9936019572,sneha9449@outlook.com,4,73
653706978452,meera8250@outlook.com,0,3
23291808,deepak229@protonmail.com,3,17
8672132856,anita5317@yahoo.com,4,72
7323198408,anita1862@gmail.com,2,55
7390524925,kiran4326@gmail.com,3,47
6997431365,abc@abc,2,33
8507059357,deepak4519@protonmail.com,5,7
7117556257,kiran5995@yahoo.com,4,48
6775893306,priya7671@outlook.com,4,33
6951117222,meera7549@outlook.com,1,16
9452426661,rahul3@yahoo.com,3,86
7129054815,rohit9319@gmail.com,0,57
8533903724,meera7970@gmail.com,3,69
54000895,anita1206@gmail.com,0,50
6979638799,deepak5764@protonmail.com,1,56
6026407072,meera8808@yahoo.com,1,71
98A76B321C,deepak876@yahoo.com,1,27
1234567890,meera6808@protonmail.com,4,97
7198202456,arjun3096@gmail.com,3,89
8874976045,sneha278@protonmail.com,5,42
6079809171,arjun7167@gmail.com,5,6
8861701315,deepak9164@gmail.com,2,97
072319089963,rahul3220@gmail.com,4,81
8347887267,vijay216@gmail.com,2,14
9971932472,priya6092@yahoo.com,1,9
1234567890,rohit1333@protonmail.com,5,81
9528445877,priya8592@gmail.com,3,92
98A76B321C,anita312@yahoo.com,3,62
6290578962,meera9627@outlook.com,0,28
6938480413,meera4407@gmail.com,3,45
9611413167,meera3591@outlook.com,3,14
7086913946,test@,0,98
7918450883,anita2020@protonmail.com,3,27
9528411003,arjun4104@gmail.com,3,57
8022800030,rohit7688@yahoo.com,3,33
6719402460,rohit2287@yahoo.com,0,78
9483212646,priya4752@protonmail.com,5,96
7017673241,rohit7913@yahoo.com,0,95
7736617132,kiran7420@protonmail.com,1,8
9239820826,vijay5041@protonmail.com,2,72
6143992328,anita3403@outlook.com,2,44
8211319639,usergmail.com,1,79
9481680075,vijay9358@outlook.com,1,47
8466742138,sneha8598@yahoo.com,3,93
1234567890,anita1984@yahoo.com,2,73
7374110397,rahul3924@gmail.com,2,62
7919454272,deepak8641@gmail.com,5,35
8608996672,test@,4,9
9865564548,rohit2763@outlook.com,0,97
1234567890,deepak6935@gmail.com,4,67
83168747,vijay2807@protonmail.com,5,86
6416261406,anita9399@yahoo.com,5,33
8477868140,vijay3939@outlook.com,2,58
691633944338,anita1360@outlook.com,5,14
9073690944,meera9241@outlook.com,0,12
9445029881,abc@abc,2,2
9080148831,usergmail.com,1,19
9287820020,deepak3567@outlook.com,3,43
6172185346,abc@abc,0,20
7327850273,meera2503@protonmail.com,1,49
9559917748,rohit9113@outlook.com,5,22
7461299960,test@,3,22
98A76B321C,anita8906@gmail.com,3,20
9645989953,meera9022@yahoo.com,0,22
9945527782,rohit3265@gmail.com,0,4
6205813693,arjun3708@protonmail.com,4,17
9763575543,priya1799@gmail.com,4,3
8524783171,@gmail.com,1,42
98A76B321C,rohit3268@protonmail.com,4,34
7442004646,deepak5557@outlook.com,1,11
9669041549,test@,3,14
8407469357,usergmail.com,1,13
98A76B321C,sneha823@outlook.com,1,64
05940465,meera1852@protonmail.com,0,30
144819357174,priya3376@outlook.com,2,57
7276118551,usergmail.com,3,33
8643835679,priya3079@protonmail.com,5,12
7925092947,rohit5474@gmail.com,2,83
6961952205,meera1827@gmail.com,4,28
9897650444,sneha8094@yahoo.com,1,12
6807258392,vijay6668@yahoo.com,5,14
8053624828,anita509@yahoo.com,0,2
7461410585,vijay7920@outlook.com,1,51
7731778286,vijay3534@outlook.com,1,9
1234567890,kiran7767@protonmail.com,1,11
8302372900,rahul53@gmail.com,1,77
6427730036,arjun1140@gmail.com,3,19
9859014725,rahul8741@protonmail.com,1,74
1234567890,meera7580@yahoo.com,5,2
9247548512,priya2153@gmail.com,4,11
6993876453,arjun8722@gmail.com,1,83
1234567890,anita4349@outlook.com,5,86
7323198408,anita1862@gmail.com,0,96
9447119165,vijay4057@yahoo.com,3,75
9278787171,anita2390@protonmail.com,5,44
98A76B321C,anita6034@outlook.com,1,25
6064044221,anita3087@yahoo.com,4,86
98A76B321C,kiran7359@gmail.com,2,62
8996018644,deepak8165@outlook.com,3,49
6756116219,sneha3854@outlook.com,2,58
31253129,sneha7024@gmail.com,4,84
6636786974,@gmail.com,3,58
6211454910,kiran8091@gmail.com,5,23
6930588280,anita3682@gmail.com,0,82
6884897155,rohit1959@protonmail.com,2,84
7807835550,sneha3750@gmail.com,4,85
386829919547,rohit1084@protonmail.com,5,64
8944807374,meera1632@gmail.com,5,23
8295103489,kiran2273@outlook.com,2,35
6609324967,sneha870@gmail.com,4,30
8016852438,abc@abc,5,55
6197605698,kiran1233@yahoo.com,5,84
99999,rahul8856@outlook.com,5,40
691633944338,anita1360@outlook.com,4,92
6279958216,sneha261@yahoo.com,3,84
866404879932,kiran7813@yahoo.com,0,54
6827867568,kiran5600@outlook.com,1,53
7164298291,deepak3700@protonmail.com,0,53
6990311174,rahul4583@outlook.com,1,71
7120090743,meera1865@gmail.com,3,83
7744445806,meera6556@gmail.com,3,34
630196757937,rohit177@outlook.com,0,96
98A76B321C,arjun4969@gmail.com,3,42
7301857044,priya8922@protonmail.com,3,21
6840857160,kiran10@protonmail.com,5,99
8015596208,meera4292@outlook.com,1,97
7030342492,kiran6922@gmail.com,4,84
9487357322,rahul3619@outlook.com,4,26
9080148831,usergmail.com,1,7
6098575335,meera6560@gmail.com,2,25
9057809316,priya6019@gmail.com,4,5
6473898111,rahul4446@gmail.com,4,53
98A76B321C,arjun2233@yahoo.com,4,61
6340822575,meera3962@yahoo.com,2,70
7319028780,meera1169@protonmail.com,1,88
8490261680,meera1356@yahoo.com,2,66
8713776453,sneha8657@protonmail.com,1,11
9474367322,priya5303@outlook.com,5,70
8773830994,rahul566@outlook.com,5,62
6591459426,deepak3056@yahoo.com,4,53
9470714758,vijay934@outlook.com,5,85
7904353701,arjun4891@protonmail.com,3,30
9321939546,meera402@protonmail.com,1,45
7481395709,deepak238@yahoo.com,5,13
9532722624,sneha6009@gmail.com,0,39
23446190,rohit5158@yahoo.com,0,45
7480100659,abc@abc,2,75
8073819837,priya9234@protonmail.com,4,29
1234567890,priya1471@yahoo.com,3,28
6652244984,rohit1804@yahoo.com,3,16
41274798,kiran519@gmail.com,1,2
8425173658,sneha4365@yahoo.com,4,31
8648996461,priya6576@protonmail.com,2,94
7671869672,usergmail.com,5,54
6211454910,kiran8091@gmail.com,3,33
7982123410,kiran8603@yahoo.com,3,19
6670098808,kiran1714@protonmail.com,2,45
1234567890,kiran7625@yahoo.com,0,89
6005811490,@gmail.com,3,42
7366387107,deepak797@yahoo.com,5,63
8952037459,arjun3464@protonmail.com,5,4
6465993427,sneha3442@protonmail.com,2,38
9490589735,anita7937@protonmail.com,0,81
98A76B321C,arjun4924@outlook.com,3,61
9694389930,anita1085@protonmail.com,1,0
9301749358,priya8584@gmail.com,4,84
6550680706,vijay4280@yahoo.com,5,44
7300003797,sneha3096@yahoo.com,2,50
8879487098,deepak832@protonmail.com,3,90
784364114684,anita9434@outlook.com,1,56
7234080951,anita8222@gmail.com,5,58
1234567890,sneha4871@yahoo.com,0,0
8661787989,sneha4770@outlook.com,0,13
9659027768,test@,3,78
6473022134,test@,1,76
1234567890,arjun9547@outlook.com,4,35
379597600449,rahul386@outlook.com,3,68
7106089506,rohit6355@outlook.com,1,11
8192730880,abc@abc,2,80
7178710532,meera410@gmail.com,1,11
9524625569,rahul8793@outlook.com,4,75
9985845405,rohit2590@outlook.com,5,66
61214998,deepak9633@yahoo.com,3,15
8657506525,arjun7127@outlook.com,2,9
8912653873,sneha9775@yahoo.com,2,27
555540739915,priya7462@protonmail.com,3,79
99999,kiran7763@protonmail.com,2,28
6866504458,kiran5251@yahoo.com,1,88
1234567890,kiran2522@protonmail.com,1,5
024690541453,vijay9528@outlook.com,3,77
99999,deepak7853@outlook.com,4,4
1234567890,anita9655@protonmail.com,1,86
6412127201,arjun7126@outlook.com,1,13
012838389697,rahul5686@yahoo.com,0,93
7300003797,sneha3096@yahoo.com,3,45
7361120707,priya9177@gmail.com,0,98
7727808882,priya8758@protonmail.com,3,77
9870035771,vijay9103@outlook.com,2,89
6708741255,priya5953@protonmail.com,2,61
99999,deepak2813@yahoo.com,1,63
7576869769,@gmail.com,4,86
1234567890,meera3369@outlook.com,4,16
6904698968,rohit2804@gmail.com,5,8
6679831418,arjun9293@yahoo.com,3,8
386829919547,rohit1084@protonmail.com,0,16
8641177602,sneha954@yahoo.com,1,11
6743218206,sneha5888@protonmail.com,2,0
6527777082,hello@domain,4,21
8202700136,kiran4571@protonmail.com,5,89
143679408590,rohit8405@yahoo.com,2,15
9387029988,priya666@gmail.com,1,1
8809174951,rahul8097@outlook.com,4,26
16077047,arjun9989@gmail.com,1,95
9623841273,arjun3285@outlook.com,4,82
7339224890,arjun7409@gmail.com,5,34
6520846792,priya1664@protonmail.com,1,38
7296622593,hello@domain,0,93
871768035775,anita6649@outlook.com,3,91
7403049004,sneha8071@yahoo.com,3,28
6654732029,vijay6076@gmail.com,2,39
329116189843,vijay3732@yahoo.com,0,52
9847430322,priya1970@gmail.com,1,39
98A76B321C,rahul1569@gmail.com,4,42
6420283067,sneha5645@protonmail.com,5,48
9442911629,deepak5121@protonmail.com,2,58
1234567890,anita1466@yahoo.com,4,74
8630320054,sneha7083@outlook.com,3,18
6313561187,priya4828@protonmail.com,0,67
9603410850,@gmail.com,4,98
8022800030,rohit7688@yahoo.com,1,19
9248735820,anita4349@gmail.com,5,57
9989713752,vijay7538@protonmail.com,3,60
6896317984,abc@abc,5,33
1234567890,arjun3900@gmail.com,4,11
6847582776,vijay7549@outlook.com,0,94
9883097627,arjun8447@yahoo.com,1,75
99999,anita4407@outlook.com,0,55
252918446840,rahul7237@outlook.com,0,95
8412274759,vijay8410@protonmail.com,0,89
6818961010,priya763@protonmail.com,1,18
6190507455,test@,3,10
8063295339,sneha972@outlook.com,0,2
8688819679,vijay2155@protonmail.com,2,56
6626915292,arjun7773@protonmail.com,4,67
079855511701,rohit1681@gmail.com,3,16
07573853,deepak7225@protonmail.com,4,27
7990492505,rahul2151@yahoo.com,2,20
1234567890,sneha282@gmail.com,0,10
9599618478,test@,5,41
911304344204,vijay4565@yahoo.com,3,100
7699881519,priya8892@gmail.com,5,86
99999,rahul7213@yahoo.com,5,25
8996018644,deepak8165@outlook.com,0,19
99999,arjun4112@protonmail.com,1,21
98A76B321C,priya4044@gmail.com,2,99
9353818030,meera8496@protonmail.com,3,36
6418538495,priya3168@yahoo.com,3,81
9175075748,deepak1522@yahoo.com,5,30
6609324967,sneha870@gmail.com,3,46
7573216894,priya4192@yahoo.com,0,38
9533094826,sneha6791@outlook.com,4,83
8091340971,meera2700@yahoo.com,4,74
7982123410,kiran8603@yahoo.com,1,88
98A76B321C,anita8054@gmail.com,5,4
9136382269,deepak1451@protonmail.com,5,35
9474367322,priya5303@outlook.com,5,32
6611347926,deepak2656@yahoo.com,0,46
9469058600,priya1082@outlook.com,4,70
7913480619,rohit6828@gmail.com,3,58
9680601324,rohit1204@protonmail.com,1,73
8506704868,kiran8660@outlook.com,2,50
8732674718,priya7782@protonmail.com,0,95
6012591076,meera4874@outlook.com,0,68
99999,rohit1869@outlook.com,1,26
6825475423,deepak163@gmail.com,0,95
9937163393,rohit6116@gmail.com,4,23
7390524925,kiran4326@gmail.com,5,24
9485655080,abc@abc,5,72
6152876309,vijay5986@gmail.com,0,83
68626427,deepak6728@yahoo.com,1,26
7603950325,kiran3228@protonmail.com,3,29
6090155661,deepak4651@outlook.com,3,93
8611566177,rahul6118@protonmail.com,3,37
8399365074,priya9515@outlook.com,3,46
99999,deepak8187@gmail.com,1,66
18029168,vijay6494@outlook.com,0,97
6453348903,kiran5584@outlook.com,4,85
9839942264,rohit9778@gmail.com,4,92
6354228962,hello@domain,0,48
9644749459,sneha6137@outlook.com,3,18
9165675507,kiran2744@gmail.com,4,6
8848290927,rohit8158@outlook.com,3,13
6404751438,rahul7604@protonmail.com,5,29
7496066859,rohit8474@yahoo.com,2,43
8630320054,sneha7083@outlook.com,3,77
8599669570,rohit3350@outlook.com,4,16
1234567890,meera7803@protonmail.com,0,60
7911439124,rohit5576@protonmail.com,3,95
6590126208,anita5047@protonmail.com,5,14
8401432835,priya9393@yahoo.com,0,48
8386535929,rahul6630@protonmail.com,0,9
6454335649,@gmail.com,1,13
8218418018,sneha5168@protonmail.com,2,17
99999,anita9307@outlook.com,1,12
99999,arjun608@gmail.com,4,97
7053167459,@gmail.com,0,2
8463699563,meera5596@outlook.com,0,59
7915390655,deepak2151@outlook.com,0,6
8671371198,kiran1589@yahoo.com,1,22
7946776322,meera4159@outlook.com,0,28
1234567890,meera4509@protonmail.com,2,49
8421480836,rohit2629@gmail.com,4,63
9797193521,rahul6537@yahoo.com,4,14
955529827708,vijay5891@protonmail.com,1,83
7379680452,arjun2753@yahoo.com,1,9
7870761811,priya9876@protonmail.com,0,34
9424255180,meera7154@outlook.com,1,57
7920134180,test@,2,11
6592210877,vijay766@gmail.com,2,61
6170246380,priya9350@outlook.com,1,93
7440311865,rahul646@gmail.com,4,7
98A76B321C,kiran9840@yahoo.com,1,59
9504679111,test@,0,22
98A76B321C,priya4812@outlook.com,1,74
9914782828,anita1600@yahoo.com,0,56
8728499556,deepak3870@protonmail.com,1,64
98A76B321C,arjun6908@yahoo.com,0,36
98A76B321C,priya5163@protonmail.com,2,87
7356440711,meera5916@outlook.com,3,29
7120256602,sneha4825@yahoo.com,5,55
6695553139,abc@abc,5,9
6535711742,rohit4510@outlook.com,5,50
1234567890,deepak7444@protonmail.com,3,2
98A76B321C,deepak4496@outlook.com,0,61
8075445477,arjun7727@protonmail.com,5,73
9625305004,kiran4989@yahoo.com,0,31
1234567890,deepak8101@protonmail.com,5,98
9577428942,deepak38@protonmail.com,1,49
6299615345,rohit5315@protonmail.com,4,99
9108327137,deepak3041@gmail.com,5,16
7838114450,rohit5665@outlook.com,4,39
6516499004,arjun9175@protonmail.com,2,63
8142550032,deepak143@protonmail.com,3,30
9449360607,vijay2017@protonmail.com,3,19
7220825485,hello@domain,0,7
7327377792,rahul5037@protonmail.com,3,31
8305406009,kiran9044@protonmail.com,0,56
9658363660,priya5054@protonmail.com,4,83
8501046044,priya3063@protonmail.com,1,31
6687751627,usergmail.com,5,92
9515025893,kiran5562@outlook.com,0,12
1234567890,arjun299@yahoo.com,0,65
1234567890,anita6248@gmail.com,4,36
9308843216,kiran1482@gmail.com,1,92
6454335649,@gmail.com,1,41
7988417281,deepak8004@protonmail.com,4,51
9309572718,vijay9115@yahoo.com,3,10
270539504400,deepak680@gmail.com,5,1
98A76B321C,vijay1588@gmail.com,1,79
8250323163,kiran3264@yahoo.com,1,22
6592210877,vijay766@gmail.com,3,12
9718002740,deepak7288@yahoo.com,5,63
7587273952,arjun779@gmail.com,1,36
1234567890,kiran5098@outlook.com,2,53
99999,rahul1980@yahoo.com,5,6
6840857160,kiran10@protonmail.com,0,93
9475607906,anita9299@protonmail.com,0,97
9930658191,vijay6070@protonmail.com,0,81
8004150153,kiran9497@gmail.com,5,83
7598047259,rohit7908@yahoo.com,4,67
8668558625,arjun8139@gmail.com,1,76
6699231297,rahul1852@yahoo.com,2,84
83432020,anita5148@yahoo.com,4,83
7363954293,meera5187@outlook.com,4,79
7986542427,deepak6691@protonmail.com,3,44
8364670663,@gmail.com,5,97
8050839180,vijay1219@gmail.com,0,43
6026407072,meera8808@yahoo.com,3,42
8210853396,meera3738@gmail.com,4,68
8802894015,sneha9122@yahoo.com,0,85
7895611590,kiran1035@protonmail.com,1,27
8562473703,arjun6575@gmail.com,2,56
7079286134,kiran3487@gmail.com,2,80
6137730029,anita3686@outlook.com,5,14
6152876309,vijay5986@gmail.com,2,83
9821353969,vijay1834@protonmail.com,3,61
8243741744,kiran1101@yahoo.com,0,3
